grade,genre,Nationality
15세이상관람가,"액션,어드벤처,범죄,스릴러",영국
청소년관람불가,"액션,드라마,전쟁",미국
청소년관람불가,"드라마,멜로/로맨스",미국
전체관람가,"멜로/로맨스,드라마",중국
12세이상관람가,"액션,어드벤처,SF",미국
12세이상관람가,"액션,SF",미국
12세이상관람가,"드라마,판타지",한국
청소년관람불가,사극,한국
전체관람가,"애니메이션,어드벤처",일본
12세이상관람가,"어드벤처,판타지",미국
청소년관람불가,"액션,드라마",한국
전체관람가,"애니메이션,어드벤처",중국
전체관람가,"드라마,가족",한국
12세이상관람가,"어드벤처,가족,판타지",미국
12세이상관람가,드라마,한국
15세이상관람가,"범죄,코미디",한국
15세이상관람가,"미스터리,드라마",한국
15세이상관람가,"공포(호러),미스터리,스릴러,드라마",미국
전체관람가,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",미국
15세이상관람가,"드라마,코미디,멜로/로맨스",한국
15세이상관람가,"가족,드라마",한국
전체관람가,"애니메이션,가족,어드벤처",한국
전체관람가,사극,한국
12세이상관람가,"액션,코미디,SF",미국
15세이상관람가,"미스터리,스릴러,드라마",한국
15세이상관람가,"SF,범죄,액션",미국
15세이상관람가,액션,한국
청소년관람불가,"드라마,코미디",한국
12세이상관람가,"애니메이션,판타지,어드벤처",일본
12세이상관람가,드라마,한국
12세이상관람가,드라마,한국
15세이상관람가,"사극,액션",한국
전체관람가,"애니메이션,어드벤처,코미디",미국
15세이상관람가,"코미디,드라마",한국
15세이상관람가,드라마,한국
청소년관람불가,"드라마,멜로/로맨스",미국
청소년관람불가,"미스터리,어드벤처",미국
12세이상관람가,드라마,프랑스
청소년관람불가,"드라마,멜로/로맨스",미국
12세이상관람가,"판타지,액션",미국
15세이상관람가,"드라마,범죄",한국
전체관람가,애니메이션,한국
전체관람가,"애니메이션,SF,어드벤처",일본
전체관람가,애니메이션,한국
12세이상관람가,"애니메이션,SF,액션",일본
전체관람가,애니메이션,일본
전체관람가,애니메이션,한국
전체관람가,애니메이션,일본
전체관람가,애니메이션,일본
12세이상관람가,애니메이션,일본
전체관람가,"액션,SF",일본
청소년관람불가,"멜로/로맨스,코미디",한국
15세이상관람가,드라마,한국
전체관람가,애니메이션,독일
15세이상관람가,"어드벤처,드라마",영국
15세이상관람가,"액션,스릴러,범죄",한국
12세이상관람가,드라마,영국
청소년관람불가,스릴러,미국
12세이상관람가,"범죄,액션",미국
15세이상관람가,"멜로/로맨스,코미디",한국
12세이상관람가,코미디,독일
15세이상관람가,"멜로/로맨스,드라마",대만
청소년관람불가,"미스터리,스릴러",한국
청소년관람불가,멜로/로맨스,한국
15세이상관람가,"멜로/로맨스,드라마",한국
청소년관람불가,"범죄,드라마",한국
청소년관람불가,"범죄,드라마",한국
12세이상관람가,"드라마,멜로/로맨스",일본
12세이상관람가,"애니메이션,드라마,멜로/로맨스",일본
전체관람가,"애니메이션,어드벤처,코미디,가족",한국
12세이상관람가,다큐멘터리,한국
15세이상관람가,"어드벤처,드라마,판타지",미국
15세이상관람가,드라마,미국
15세이상관람가,액션,미국
15세이상관람가,드라마,한국
전체관람가,"애니메이션,판타지,가족",러시아
전체관람가,"애니메이션,어드벤처,가족,판타지",러시아
전체관람가,다큐멘터리,한국
청소년관람불가,드라마,덴마크
전체관람가,다큐멘터리,영국
전체관람가,"애니메이션,어드벤처,코미디",한국
15세이상관람가,"SF,판타지,액션,멜로/로맨스",미국
12세이상관람가,"액션,어드벤처,SF",미국
12세이상관람가,"액션,어드벤처,판타지",미국
청소년관람불가,드라마,미국
전체관람가,"애니메이션,판타지,어드벤처",한국
12세이상관람가,"판타지,드라마",한국
청소년관람불가,드라마,미국
15세이상관람가,드라마,미국
15세이상관람가,"드라마,사극",한국
12세이상관람가,사극,한국
청소년관람불가,"판타지,멜로/로맨스",영국
전체관람가,"애니메이션,판타지,뮤지컬",스페인
청소년관람불가,"범죄,드라마",미국
15세이상관람가,"범죄,드라마",한국
12세이상관람가,"사극,드라마",한국
청소년관람불가,"액션,SF",미국
청소년관람불가,드라마,미국
전체관람가,애니메이션,일본
전체관람가,"애니메이션,어드벤처,코미디",미국
청소년관람불가,드라마,한국
12세이상관람가,드라마,미국
12세이상관람가,"드라마,코미디",한국
12세이상관람가,드라마,한국
12세이상관람가,드라마,한국
15세이상관람가,"판타지,액션",미국
전체관람가,"애니메이션,액션,어드벤처",미국
전체관람가,애니메이션,미국
12세이상관람가,드라마,한국
12세이상관람가,"드라마,뮤지컬,멜로/로맨스",미국
12세이상관람가,드라마,호주
15세이상관람가,공포(호러),미국
15세이상관람가,드라마,캐나다
12세이상관람가,"코미디,드라마",미국
15세이상관람가,"코미디,멜로/로맨스",영국
전체관람가,애니메이션,일본
15세이상관람가,코미디,한국
15세이상관람가,"액션,범죄,스릴러",미국
전체관람가,"애니메이션,코미디,액션,가족",미국
전체관람가,"애니메이션,액션,코미디",미국
15세이상관람가,"어드벤처,드라마",미국
전체관람가,"가족,드라마",미국
청소년관람불가,"액션,SF",미국
12세이상관람가,"액션,어드벤처,판타지,SF",미국
12세이상관람가,드라마,한국
전체관람가,"애니메이션,어드벤처,코미디",벨기에
15세이상관람가,"범죄,드라마",미국
전체관람가,애니메이션,일본
청소년관람불가,액션,미국
15세이상관람가,드라마,아일랜드
15세이상관람가,"미스터리,멜로/로맨스,스릴러",독일
청소년관람불가,액션,한국
전체관람가,"애니메이션,코미디,어드벤처",미국
전체관람가,"애니메이션,코미디,어드벤처,가족",미국
청소년관람불가,멜로/로맨스,한국
전체관람가,드라마,프랑스
15세이상관람가,드라마,캐나다
12세이상관람가,"액션,어드벤처,SF",미국
15세이상관람가,"액션,범죄",한국
전체관람가,애니메이션,독일
전체관람가,"어드벤처,가족,판타지",미국
전체관람가,"애니메이션,어드벤처",스페인
전체관람가,"애니메이션,코미디,가족",미국
12세이상관람가,"액션,어드벤처,드라마",미국
15세이상관람가,"액션,어드벤처,스릴러",미국
12세이상관람가,"코미디,드라마,멜로/로맨스",미국
전체관람가,공연,미국
청소년관람불가,스릴러,미국
15세이상관람가,드라마,미국
