CUS_ID,count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,건강/의학,게임,교육/학원,금융/부동산,뉴스/미디어,문학/예술,비즈니스/경제,사회/문화/종교,생활/가정/취미,서비스,쇼핑,스포츠/레저,엔터테인먼트,여행,온라인교육,유통/판매/운송,인터넷/컴퓨터,정보통신/IT,정치/행정,제조,커뮤니티,학문
2,4448,785.0,1087.0,694.0,1050.0,779.0,53.0,,4.0,4.0,4.0,74.0,291.0,1.0,234.0,1.0,12.0,19.0,1766.0,,61.0,12.0,6.0,7.0,1427.0,28.0,4.0,7.0,486.0,
8,1034,226.0,190.0,239.0,233.0,146.0,,,,,1.0,54.0,28.0,,4.0,,7.0,10.0,284.0,,5.0,6.0,,,527.0,9.0,15.0,12.0,72.0,
23,3783,658.0,770.0,768.0,872.0,529.0,77.0,109.0,,,23.0,85.0,359.0,1.0,63.0,,8.0,4.0,1267.0,,64.0,3.0,781.0,2.0,909.0,8.0,7.0,11.0,188.0,
30,3698,597.0,480.0,520.0,598.0,678.0,370.0,455.0,4.0,,3.0,8.0,946.0,,6.0,1.0,1.0,3.0,161.0,9.0,56.0,,35.0,11.0,1477.0,1.0,3.0,6.0,967.0,
32,4424,998.0,838.0,775.0,946.0,690.0,177.0,,9.0,,7.0,254.0,258.0,2.0,22.0,5.0,6.0,19.0,898.0,2.0,32.0,67.0,10.0,21.0,2501.0,3.0,34.0,14.0,260.0,
118,1135,220.0,178.0,233.0,239.0,265.0,,,3.0,,4.0,2.0,32.0,1.0,5.0,,7.0,7.0,571.0,,2.0,1.0,2.0,5.0,424.0,8.0,6.0,,55.0,
119,1387,157.0,345.0,300.0,319.0,259.0,7.0,,169.0,,6.0,18.0,90.0,4.0,4.0,,11.0,14.0,102.0,,12.0,15.0,14.0,8.0,769.0,3.0,27.0,4.0,117.0,
120,431,97.0,73.0,77.0,109.0,54.0,21.0,,7.0,,,10.0,8.0,,1.0,,1.0,,3.0,,4.0,3.0,2.0,,277.0,4.0,15.0,,96.0,
122,1038,116.0,128.0,138.0,138.0,123.0,220.0,175.0,2.0,1.0,,77.0,104.0,,4.0,2.0,17.0,3.0,116.0,,88.0,1.0,8.0,2.0,457.0,21.0,5.0,7.0,123.0,
128,2558,439.0,372.0,398.0,482.0,400.0,201.0,266.0,5.0,1.0,,129.0,56.0,,,5.0,9.0,128.0,82.0,,12.0,1.0,5.0,3.0,1763.0,2.0,3.0,1.0,353.0,
145,6370,1486.0,1129.0,1170.0,1024.0,1399.0,98.0,64.0,18.0,3.0,,470.0,1135.0,2.0,83.0,4.0,87.0,71.0,589.0,12.0,127.0,21.0,17.0,16.0,2687.0,234.0,87.0,44.0,661.0,2.0
148,3034,656.0,615.0,670.0,559.0,512.0,1.0,21.0,3.0,1.0,1.0,,1617.0,,2.0,,1.0,46.0,8.0,7.0,257.0,,15.0,,1006.0,2.0,14.0,,54.0,
